state,stage,year,lat,lng,population,students,schools,students_per_school,students_per_1000_pop
Johor,primary,2017,1.7951607821908488,103.37659826662811,2081896,326709,906,360.60596026490066,156.9285881715513
Johor,primary,2018,1.7951607821908488,103.37659826662811,2081896,328093,907,361.7342888643881,157.59336681563343
Johor,primary,2019,1.7951607821908488,103.37659826662811,2081896,331130,907,365.08269018743107,159.05213324777029
Johor,primary,2020,1.7951607821908488,103.37659826662811,2081896,331190,906,365.55187637969095,159.08095313118426
Johor,primary,2021,1.7951607821908488,103.37659826662811,2081896,331877,906,366.31015452538634,159.41094079627416
Johor,primary,2022,1.7951607821908488,103.37659826662811,2081896,331205,908,364.7632158590308,159.08815810203774
Johor,secondary,2017,1.7951607821908488,103.37659826662811,2081896,262069,277,946.0974729241877,125.8799671069064
Johor,secondary,2018,1.7951607821908488,103.37659826662811,2081896,240234,280,857.9785714285714,115.39193120117432
Johor,secondary,2019,1.7951607821908488,103.37659826662811,2081896,236489,282,838.613475177305,113.59309014475267
Johor,secondary,2020,1.7951607821908488,103.37659826662811,2081896,236802,283,836.756183745583,113.74343386989553
Johor,secondary,2021,1.7951607821908488,103.37659826662811,2081896,238814,284,840.8943661971831,114.70986062704381
Johor,secondary,2022,1.7951607821908488,103.37659826662811,2081896,238491,284,839.7570422535211,114.55471358799863
Kedah,primary,2017,5.783387105877659,100.46280086263586,761851,190028,546,348.03663003663,249.42935035853466
Kedah,primary,2018,5.783387105877659,100.46280086263586,761851,189797,547,346.9780621572212,249.12614146335702
Kedah,primary,2019,5.783387105877659,100.46280086263586,761851,189969,547,347.2925045703839,249.3519073939655
Kedah,primary,2020,5.783387105877659,100.46280086263586,761851,189170,548,345.2007299270073,248.3031458907319
Kedah,primary,2021,5.783387105877659,100.46280086263586,761851,189245,548,345.3375912408759,248.40159033721818
Kedah,primary,2022,5.783387105877659,100.46280086263586,761851,188524,548,344.021897810219,247.4552110583303
Kedah,secondary,2017,5.783387105877659,100.46280086263586,761851,159612,201,794.0895522388059,209.50553323418882
Kedah,secondary,2018,5.783387105877659,100.46280086263586,761851,143535,201,714.1044776119403,188.4029816853952
Kedah,secondary,2019,5.783387105877659,100.46280086263586,761851,140346,202,694.7821782178218,184.2171238207996
Kedah,secondary,2020,5.783387105877659,100.46280086263586,761851,139192,202,689.0693069306931,182.7023919375311
Kedah,secondary,2021,5.783387105877659,100.46280086263586,761851,141216,203,695.6453201970444,185.35907940004017
Kedah,secondary,2022,5.783387105877659,100.46280086263586,761851,143591,204,703.8774509803922,188.4764868721049
Kelantan,primary,2017,6.14236896700018,102.22738188769117,674337,171839,418,411.0980861244019,254.82659263839892
Kelantan,primary,2018,6.14236896700018,102.22738188769117,674337,171406,418,410.0622009569378,254.1844804600667
Kelantan,primary,2019,6.14236896700018,102.22738188769117,674337,172033,418,411.5622009569378,255.11428262130065
Kelantan,primary,2020,6.14236896700018,102.22738188769117,674337,170674,418,408.311004784689,253.09896980293234
Kelantan,primary,2021,6.14236896700018,102.22738188769117,674337,171563,418,410.4377990430622,254.41730173488924
Kelantan,primary,2022,6.14236896700018,102.22738188769117,674337,172145,418,411.83014354066984,255.2803716835944
Kelantan,secondary,2017,6.14236896700018,102.22738188769117,674337,130372,175,744.9828571428571,193.33360026218344
Kelantan,secondary,2018,6.14236896700018,102.22738188769117,674337,115720,177,653.7853107344632,171.60559186282228
Kelantan,secondary,2019,6.14236896700018,102.22738188769117,674337,121602,177,687.0169491525423,180.32823350935809
Kelantan,secondary,2020,6.14236896700018,102.22738188769117,674337,109486,177,618.5649717514125,162.36095602050608
Kelantan,secondary,2021,6.14236896700018,102.22738188769117,674337,111073,178,624.0056179775281,164.71437871568668
Kelantan,secondary,2022,6.14236896700018,102.22738188769117,674337,113329,178,636.6797752808989,168.05988697046138
Melaka,primary,2017,2.1944,102.2486,455300,81086,237,342.13502109704643,178.09356468262683
Melaka,primary,2018,2.1944,102.2486,455300,82114,237,346.47257383966246,180.3514166483637
Melaka,primary,2019,2.1944,102.2486,455300,83634,238,351.4033613445378,183.689874807819
Melaka,primary,2020,2.1944,102.2486,455300,84174,238,353.672268907563,184.87590599604655
Melaka,primary,2021,2.1944,102.2486,455300,85433,238,358.9621848739496,187.64111574785855
Melaka,primary,2022,2.1944,102.2486,455300,86269,238,362.47478991596637,189.47726773555897
Melaka,secondary,2017,2.1944,102.2486,455300,68243,77,886.2727272727273,149.88578958928179
Melaka,secondary,2018,2.1944,102.2486,455300,62183,77,807.5714285714286,136.57588403250602
Melaka,secondary,2019,2.1944,102.2486,455300,61257,77,795.5454545454545,134.54206018010103
Melaka,secondary,2020,2.1944,102.2486,455300,61379,77,797.1298701298701,134.81001537447838
Melaka,secondary,2021,2.1944,102.2486,455300,62331,77,809.4935064935065,136.90094443224248
Melaka,secondary,2022,2.1944,102.2486,455300,62385,78,799.8076923076923,137.01954755106524
Negeri Sembilan,primary,2017,2.676701647996793,101.91032717041921,538836,101791,350,290.83142857142855,188.9090558166121
Negeri Sembilan,primary,2018,2.676701647996793,101.91032717041921,538836,102539,350,292.9685714285714,190.29723329547397
Negeri Sembilan,primary,2019,2.676701647996793,101.91032717041921,538836,104329,350,298.08285714285716,193.6192088130711
Negeri Sembilan,primary,2020,2.676701647996793,101.91032717041921,538836,105196,352,298.85227272727275,195.22823270902464
Negeri Sembilan,primary,2021,2.676701647996793,101.91032717041921,538836,107601,352,305.68465909090907,199.69155735696947
Negeri Sembilan,primary,2022,2.676701647996793,101.91032717041921,538836,108856,353,308.37393767705385,202.02065192377643
